graph_type,graph_size,sparsity,algorithm,execution_time,memory_mb,modularity,num_communities
synthetic,1000,very_sparse,Louvain,0.0134615898132324,0.2421875,0.7308251471371243,5
synthetic,1000,very_sparse,Spectral,0.02956223487854,0.18359375,0.6930624890562855,5
synthetic,1000,very_sparse,Louvain,0.007999420166015625,0.27734375,0.7308251471371243,5
synthetic,1000,very_sparse,Spectral,0.017998218536376953,0.1640625,0.6930624890562855,5
synthetic,1000,very_sparse,Girvan-Newman,125.81786561012268,0.0546875,0.7308251471371243,5
synthetic,5000,very_sparse,Louvain,0.07097005844116211,0.01171875,0.7253379098677328,5
synthetic,5000,very_sparse,Spectral,0.11799979209899902,-0.57421875,0.7129773138696559,5
synthetic,10000,very_sparse,Louvain,0.30899834632873535,0.02734375,0.7256085953350959,5
synthetic,10000,very_sparse,Spectral,0.4309985637664795,-0.6875,0.718200055297585,5
synthetic,20000,very_sparse,Louvain,0.965998649597168,0.0,0.7260406522135034,5
synthetic,20000,very_sparse,Spectral,1.5449724197387695,-2.20703125,0.6428850365776984,5
synthetic,1000,sparse,Louvain,0.009029150009155273,0.1796875,0.6263007007695789,5
synthetic,1000,sparse,Spectral,0.01600050926208496,0.0703125,0.33753232412856493,3
synthetic,1000,sparse,Girvan-Newman,652.2858390808105,-1.921875,0.6263007007695789,5
synthetic,5000,sparse,Louvain,0.14230585098266602,0.0390625,0.6342108770504622,5
synthetic,5000,sparse,Spectral,0.2806365489959717,-3.04296875,0.28376877042492604,3
synthetic,10000,sparse,Louvain,0.5604908466339111,0.03125,0.6333365588932607,5
synthetic,10000,sparse,Spectral,0.6404144763946533,-2.97265625,0.5695596769774767,4
synthetic,20000,sparse,Louvain,2.0982842445373535,-4.9765625,0.6335649071953379,5
synthetic,20000,sparse,Spectral,3.9703633785247803,0.83203125,0.5370770576333246,5
synthetic,1000,moderately_sparse,Louvain,0.015673398971557617,1.28125,0.6335755179668243,5
synthetic,1000,moderately_sparse,Spectral,0.03239035606384277,-3.7265625,0.49527947355297874,5
synthetic,1000,moderately_sparse,Girvan-Newman,2737.1345431804657,0.828125,0.6335755179668243,5
synthetic,5000,moderately_sparse,Louvain,0.36305975914001465,0.39453125,0.6329409578870165,5
synthetic,5000,moderately_sparse,Spectral,0.5426979064941406,1.00390625,0.47571825852691735,4
synthetic,10000,moderately_sparse,Louvain,1.911987066268921,0.2421875,0.6335667418189189,5
synthetic,10000,moderately_sparse,Spectral,2.0625100135803223,-5.87109375,0.5683387089206725,4
