graph_type,graph_size,sparsity,algorithm,execution_time,modularity,num_communities,cpu_percent
synthetic,1000,very_sparse,Louvain,0.0111873149871826,0.7308251471371243,5,85.7
synthetic,1000,very_sparse,Spectral,0.0313951969146728,0.6930624890562855,5,100.0
synthetic,5000,very_sparse,Louvain,0.1602351665496826,0.7253379098677328,5,82.7
synthetic,5000,very_sparse,Spectral,0.2489116191864013,0.7129773138696559,5,82.6
synthetic,10000,very_sparse,Louvain,0.6346311569213867,0.7256085953350959,5,86.3
synthetic,10000,very_sparse,Spectral,0.8682136535644531,0.718200055297585,5,95.7
synthetic,20000,very_sparse,Louvain,1.5813453197479248,0.7260406522135034,5,84.3
synthetic,20000,very_sparse,Spectral,2.671416521072388,0.6428850365776984,5,80.0
synthetic,1000,sparse,Louvain,0.0123286247253417,0.6263007007695789,5,100.0
synthetic,1000,sparse,Spectral,0.0253796577453613,0.3375323241285649,3,87.5
synthetic,5000,sparse,Louvain,0.2777740955352783,0.6342108770504622,5,81.6
synthetic,5000,sparse,Spectral,0.5117895603179932,0.283768770424926,3,88.5
synthetic,10000,sparse,Louvain,1.219956398010254,0.6333365588932607,5,93.3
synthetic,10000,sparse,Spectral,1.1788597106933594,0.5695596769774767,4,99.4
synthetic,20000,sparse,Louvain,4.241746187210083,0.6335649071953379,5,73.2
synthetic,20000,sparse,Spectral,6.118570804595947,0.5370770576333246,5,74.2
synthetic,1000,moderately_sparse,Louvain,0.0188860893249511,0.6335755179668243,5,75.0
synthetic,1000,moderately_sparse,Spectral,0.0457797050476074,0.4952794735529787,5,78.6
synthetic,5000,moderately_sparse,Louvain,0.5761468410491943,0.6329409578870165,5,99.6
synthetic,5000,moderately_sparse,Spectral,0.6822719573974609,0.4757182585269173,4,91.8
synthetic,10000,moderately_sparse,Louvain,2.5532214641571045,0.6335667418189189,5,79.0
synthetic,10000,moderately_sparse,Spectral,1.820778131484985,0.5683387089206725,4,75.8
synthetic,20000,moderately_sparse,Louvain,6.213363885879517,0.6331220247979706,5,66.8
synthetic,20000,moderately_sparse,Spectral,8.667481660842896,0.56992711859487,4,62.1
facebook,4039,real_world,Louvain,0.1843118667602539,0.8349634741760771,16,81.7
facebook,4039,real_world,Spectral,0.57698655128479,0.7895239595912015,10,86.2
synthetic,1000,very_sparse,Louvain,0.0090363025665283,0.7308251471371243,5,75.0
synthetic,1000,very_sparse,Spectral,0.0235023498535156,0.6930624890562855,5,75.0
synthetic,5000,very_sparse,Louvain,0.1889035701751709,0.7253379098677328,5,80.5
synthetic,5000,very_sparse,Spectral,0.2691335678100586,0.7129773138696559,5,100.0
synthetic,10000,very_sparse,Louvain,0.5717372894287109,0.7256085953350959,5,92.7
synthetic,10000,very_sparse,Spectral,0.7525639533996582,0.718200055297585,5,90.2
synthetic,20000,very_sparse,Louvain,1.6970553398132324,0.7260406522135034,5,83.0
synthetic,20000,very_sparse,Spectral,2.9519712924957275,0.6428850365776984,5,93.3
synthetic,1000,sparse,Louvain,0.016089916229248,0.6263007007695789,5,76.9
synthetic,1000,sparse,Spectral,0.0285260677337646,0.3375323241285649,3,75.0
synthetic,5000,sparse,Louvain,0.2974390983581543,0.6342108770504622,5,90.4
synthetic,5000,sparse,Spectral,0.5905911922454834,0.283768770424926,3,100.0
synthetic,10000,sparse,Louvain,0.9799253940582277,0.6333365588932607,5,88.0
synthetic,10000,sparse,Spectral,1.065582036972046,0.5695596769774767,4,82.1
synthetic,20000,sparse,Louvain,3.770674705505371,0.6335649071953379,5,84.3
synthetic,20000,sparse,Spectral,6.298749685287476,0.5370770576333246,5,66.8
synthetic,1000,moderately_sparse,Louvain,0.0201919078826904,0.6335755179668243,5,100.0
synthetic,1000,moderately_sparse,Spectral,0.0464701652526855,0.4952794735529787,5,91.7
synthetic,5000,moderately_sparse,Louvain,0.4498105049133301,0.6329409578870165,5,81.9
synthetic,5000,moderately_sparse,Spectral,0.693040132522583,0.4757182585269173,4,81.8
synthetic,10000,moderately_sparse,Louvain,1.9836292266845703,0.6335667418189189,5,85.4
synthetic,10000,moderately_sparse,Spectral,1.970923662185669,0.5683387089206725,4,100.0
synthetic,20000,moderately_sparse,Louvain,6.358880281448364,0.6331220247979706,5,57.3
synthetic,20000,moderately_sparse,Spectral,8.336162805557251,0.56992711859487,4,57.0
facebook,4039,real_world,Louvain,0.1429827213287353,0.8349733953875415,16,100.0
facebook,4039,real_world,Spectral,0.5560150146484375,0.7895239595912015,10,100.0
synthetic,1000,very_sparse,Girvan-Newman,143.0939953327179,0.7308251471371243,5,59.9
